Zip_Code,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01237,MA,,,,,,,,,,,,,,,,,204307,212509,217023,227629,257267,293274,332937,359957,370826,380016
01238,MA,138274,140882,158872,181773,214784,240297,241620,252622,245820,216660,224870,216186,216423,221065,223958,228857,232635,237308,241988,251252,277777,323346,357851,386549,400997,409204
01240,MA,237206,244406,277178,324168,341655,380909,396809,385692,360859,324447,320562,302619,309639,317629,314072,328830,325558,338700,352270,361721,394436,479365,541807,590548,610300,620154
01243,MA,146621,127847,135790,171072,179220,184441,184042,216293,208830,211887,193344,194085,186198,188802,192146,201671,203031,217529,224654,228841,255513,280000,310507,320171,332175,322450
01245,MA,211528,251835,270532,304679,390121,395160,414067,408211,453484,435158,406097,388742,405651,409813,413909,425457,422717,431508,447585,462245,509736,628962,672023,700921,690305,696188
01247,MA,85873,87506,89953,101734,119207,128730,138934,135641,124454,121950,122336,115446,119313,123194,121564,126524,128703,135434,141587,148808,168121,192595,213311,231759,245329,253601
01253,MA,,,,,,,,,,,,,,,,,265571,279474,286550,293534,327464,384832,433853,476330,506690,509628
01254,MA,,,,,,,,,,,,,,,,,357723,363987,373486,378909,423314,495173,558619,596677,618213,616956
01255,MA,,,,,,,,,,,,,,,,,250811,261030,261013,274016,295134,338621,379397,408985,422322,437953
01256,MA,,,,,,,,,,,,,,,,,,,,,223547,253897,284183,301643,309154,308901
01257,MA,178980,182885,199940,217517,247272,262333,310828,288520,291992,256095,263212,249112,256133,264766,260217,272702,267631,271726,280375,288452,332396,414103,467578,498239,511299,506910
01258,MA,194683,236629,267250,278161,338892,340259,393052,353875,308074,345895,351817,335278,349184,373372,376487,380088,379588,397179,410899,420840,472249,550243,630949,646283,664128,702110
01259,MA,,,,,,,,,,,,,,,,,,,,,384183,473496,525477,555440,563625,591131
01262,MA,236594,241107,279547,361356,376212,420433,419192,414986,397854,371893,373114,352748,354780,365903,367419,386449,399245,405021,418514,432750,483104,580409,645454,707761,720933,745661
01264,MA,216377,250253,276147,324337,406392,418015,441898,429132,438303,393172,405599,385826,389765,403276,393601,396040,401024,418923,431208,450152,493561,582639,651895,666962,639303,653210
